"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
fu_b1comm,fvp_z1x,,text,"Comments (provide if form not included)",,,,,,,"[fu_b1sub] = '0'",,,,,,
fu_b4lang,fvp_z1x,"B4 - Global Staging - CDR: Standard and Supplemental (Required)",radio,"B4 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
fu_b5lang,fvp_z1x,"B5 - BEHAVIORAL ASSESSMENT NPI-Q",radio,"B5 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
fu_b5sub,fvp_z1x,,radio,"B5 Submitted?","1, 1 Yes | 0, 0 No",,,,,,,y,,,,,
fu_b5not,fvp_z1x,,radio,"If not submitted specify reason (see Key)","95, 95 - Physical problem | 96, 96 - Cognitive/behavior problem | 97, 97 - Other problem | 98, 98 - Verbal refusal",,,,,,"[fu_b5sub] = '0'",y,,,,,
fu_b5comm,fvp_z1x,,text,"Comments (provide if form not included)",,,,,,,"[fu_b5sub] = '0'",,,,,,
fu_b6lang,fvp_z1x,"B6 - Behavioral Assessment GDS",radio,"B6 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
fu_b6sub,fvp_z1x,,radio,"B6 BEHAVIORAL ASSESSMENT - GDS","1, 1 Yes | 0, 0 No",,,,,,,y,,,,,
fu_b6not,fvp_z1x,,radio,"If not submitted specify reason (see Key)","95, 95 - Physical problem | 96, 96 - Cognitive/behavior problem | 97, 97 - Other problem | 98, 98 - Verbal refusal",,,,,,"[fu_b6sub] = '0'",y,,,,,
fu_b6comm,fvp_z1x,,text,"Comments (provide if form not included)",,,,,,,"[fu_b6sub] = '0'",,,,,,
fu_b7lang,fvp_z1x,"B7 - FUNCTIONAL ASSESSMENT NACC FAS",radio,"B7 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
fu_b7sub,fvp_z1x,,radio,"B7 Submitted?","1, 1 Yes | 0, 0 No",,,,,,,y,,,,,
fu_b7not,fvp_z1x,,radio,"If not submitted specify reason (see Key)","95, 95 - Physical problem | 96, 96 - Cognitive/behavior problem | 97, 97 - Other problem | 98, 98 - Verbal refusal",,,,,,"[fu_b7sub] = '0'",y,,,,,
fu_b7comm,fvp_z1x,,text,"Comments (provide if form not included)",,,,,,,"[fu_b7sub] = '0'",,,,,,
fu_b8lang,fvp_z1x,"B8 - EVALUATION FORM Neurological Examination Findings (Required)",radio,"B8 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
fu_b9lang,fvp_z1x,"B9 - Clinician Judgement of Symptoms",radio,"B9 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
fu_c1lang,fvp_z1x,"C1 - Neuropsychological Battery Summary Scores (Required)",radio,"C1 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
fu_c2lang,fvp_z1x,"C2 - Neuropsychological Battery Scores (Required)",radio,"C2 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
fu_d1lang,fvp_z1x,"D1 - Clinician Diagnosis (Required)",radio,"D1 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
fu_d2lang,fvp_z1x,"D2 - Clinician-assessed Medical Conditions (Required)",radio,"D2 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
copyright_z11,fvp_z1x,,descriptive,"<font color=blue> Adapted with permission. Copyright &#169 2006, 2008, 2015 University of Washington. Created and published by the ADC Clinical Task Force (John C. Morris, MD, Chair) and the National Alzheimer's Coordinating Center (U01 AG016976 - Walter A. Kukull, PhD, Director).  All rights reserved.</font color=blue>",,,,,,,,,,,,,
footer_z11,fvp_z1x,,descriptive,"National Alzheimer's Coordinating Center | (206) 543-8637 | fax: (206) 616-5927 | naccmail@uw.edu | www.alz.washington.edu 

<b>UDS (V3.0, March 2015) Follow-up Visit <font color=red>Form Z1X: Form Checklist</font color=red> </b>",,,,,,,,,,,,,
