"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
b7lang,ivp_z1,"B7 - FUNCTIONAL ASSESSMENT NACC FAS",radio,"B7 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
b7sub,ivp_z1,,radio,"B7 Submitted?","1, 1 Yes | 0, 0 No",,,,,,,y,,,,,
b7not,ivp_z1,,radio,"If not submitted specify reason (see Key)","95, 95 - Physical problem | 96, 96 - Cognitive/behavior problem | 97, 97 - Other problem | 98, 98 - Verbal refusal",,,,,,"[b7sub] = '0'",y,,,,,
b7comm,ivp_z1,,text,"Comments (provide if form not included)",,,,,60,,"[b7sub] = '0'",,,,,,
b8lang,ivp_z1,"B8 - EVALUATION FORM Neurological Examination Findings (Required)",radio,"B8 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
b9lang,ivp_z1,"B9 - Clinician Judgement of Symptoms",radio,"B9 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
c2lang,ivp_z1,"C2 - Neuropsychological Battery Scores (Required)",radio,"C2 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
d1lang,ivp_z1,"D1 - Clinician Diagnosis (Required)",radio,"D1 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
d2lang,ivp_z1,"D2 - Clinician-assessed Medical Conditions (Required)",radio,"D2 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
copyright_z1,ivp_z1,,descriptive,"<font color=blue> Adapted with permission. Copyright &#169 2006, 2008, 2015 University of Washington. Created and published by the ADC Clinical Task Force (John C. Morris, MD, Chair) and the National Alzheimer's Coordinating Center (U01 AG016976 - Walter A. Kukull, PhD, Director).  All rights reserved.</font color=blue>",,,,,,,,,,,,,
footer_z1,ivp_z1,,descriptive,"National Alzheimer's Coordinating Center | (206) 543-8637 | fax: (206) 616-5927 | naccmail@uw.edu | www.alz.washington.edu 

<b>UDS (V3.0, March 2015) Initial Visit <font color=red>Form Z1X: Form Checklist</font color=red> </b>",,,,,,,,,,,,,
